Sr_no,Star_name,Distance,Mass,Radius,Gravity
0,Sun,1.5813e-05,1.989e+30,695700000.0,274.2691614595739
1,Sirius,8.6,4.1769000000000005e+30,1189647000.0,196.971799550325
3,Alpha Centauri,4.4,2.1879e+30,834840000.0,209.51116500384123
12,Altair,17.0,3.5802e+30,1252260000.0,152.37175636642996
18,Fomalhaut,25.0,3.7791e+30,1252260000.0,160.8368539423427
53,Tau Ceti,11.9,1.557387e+30,621260100.0,269.29967110479345
54,Delta Pavonis,19.92,1.971099e+30,848754000.0,182.61269753187165
60,Titawin,44.25,2.5260300000000002e+30,1029636000.0,159.02202111653529
69,54 Piscium,36.1,1.5116400000000002e+30,653958000.0,235.9037604224493
